,batting_team,bowling_team,city,runs_left,balls_left,wickets,total_runs_x,crr,rrr,result
0,Rajasthan Royals,Kolkata Knight Riders,Mumbai,22,29,4,133,7.3,4.6,1
1,Delhi Capitals,Lucknow Super Giants,Lucknow,31,43,2,167,10.6,4.3,1
2,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,175,88,3,213,7.1,11.9,0
3,Mumbai Indians,Chennai Super Kings,Mumbai,76,45,2,206,10.4,10.1,0
4,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,47,31,4,226,12.1,9.1,0
5,Chennai Super Kings,Kolkata Knight Riders,Chennai,53,33,3,202,10.3,9.6,1
6,Royal Challengers Bangalore,Mumbai Indians,Chennai,113,90,2,159,9.2,7.5,1
7,Mumbai Indians,Chennai Super Kings,Mumbai,168,122,0,168,-0.0,8.3,0
8,Deccan Chargers,Kings XI Punjab,Hyderabad,170,125,0,170,-0.0,8.2,0
9,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,108,76,1,178,9.5,8.5,0
10,Delhi Daredevils,Chennai Super Kings,Abu Dhabi,135,79,3,177,6.1,10.3,0
11,Rajasthan Royals,Chennai Super Kings,Mumbai,30,20,8,140,6.6,9.0,0
12,Delhi Daredevils,Deccan Chargers,Cuttack,137,103,1,171,12.0,8.0,0
13,Gujarat Titans,Lucknow Super Giants,Mumbai,119,95,2,158,9.4,7.5,1
14,Kolkata Knight Riders,Chennai Super Kings,Ranchi,87,75,4,148,8.1,7.0,0
15,Delhi Daredevils,Kolkata Knight Riders,Kolkata,79,75,5,133,7.2,6.3,0
16,Kings XI Punjab,Chennai Super Kings,Durban,85,87,1,116,5.6,5.9,0
17,Chennai Super Kings,Rajasthan Royals,Jaipur,34,9,5,202,9.1,22.7,0
18,Chennai Super Kings,Kolkata Knight Riders,Abu Dhabi,108,83,0,171,10.2,7.8,1
19,Rajasthan Royals,Lucknow Super Giants,Lucknow,194,123,0,196,-4.0,9.5,1
20,Chennai Super Kings,Mumbai Indians,Mumbai,62,39,6,165,7.6,9.5,1
21,Mumbai Indians,Sunrisers Hyderabad,Mumbai,65,36,4,178,8.1,10.8,1
22,Mumbai Indians,Sunrisers Hyderabad,Mumbai,107,87,3,173,12.0,7.4,1
23,Chennai Super Kings,Rajasthan Royals,Jaipur,30,24,6,126,6.0,7.5,1
24,Rajasthan Royals,Sunrisers Hyderabad,Mumbai,100,74,3,158,7.6,8.1,1
